Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,Jorge Alfaro,MIA,92,311,295,72,52,15,1,4,22,30,11,0,99,5,0,0,8,8,1,0.244067796,12180
2021,Rougned Odor,NYY,99,361,322,65,38,12,0,15,42,39,27,2,100,11,0,1,3,0,1,0.201863354,12282
2021,Jace Peterson,MIL,93,303,260,65,47,11,1,6,36,31,38,0,68,3,2,0,1,10,1,0.25,12325
2021,Tommy La Stella,SFG,76,242,220,55,36,11,1,7,26,27,18,1,26,1,1,0,4,0,0,0.25,12371
2021,Kevin Pillar,NYM,117,347,325,75,47,11,2,15,40,47,11,0,81,10,1,0,5,4,3,0.23076923,12434
2021,Curt Casali,SFG,75,231,200,42,25,11,1,5,20,26,26,4,66,4,0,1,3,0,0,0.21,12510
2021,Kolten Wong,MIL,115,492,445,121,73,32,2,14,70,50,31,1,83,13,3,0,2,12,5,0.271910112,12532
2021,Marcus Semien,TOR,162,724,652,173,87,39,2,45,115,102,66,0,146,3,3,0,9,15,1,0.265337423,12533
2021,C.J. Cron,COL,142,547,470,132,72,31,1,28,70,92,60,3,117,13,4,0,11,1,0,0.280851063,12546
2021,Eugenio Suarez,CIN,145,574,505,100,46,23,0,31,71,79,56,0,171,8,5,0,14,0,1,0.198019801,12552
2021,Trevor Story,COL,142,595,526,132,69,34,5,24,88,75,53,2,139,11,5,0,7,20,6,0.25095057,12564
2021,Alex Dickerson,SFG,111,312,283,66,41,10,2,13,37,38,23,1,76,6,0,0,7,1,0,0.233215547,12649
2021,Brad Miller,PHI,140,377,331,75,43,9,3,20,53,49,45,2,112,1,0,0,7,3,0,0.226586102,12775
2021,George Springer,TOR,78,342,299,79,37,19,1,22,59,50,37,1,79,4,1,0,6,4,1,0.264214046,12856
2021,Brian Goodwin,CHW,71,271,235,52,33,10,1,8,33,29,33,0,58,1,1,1,2,1,0,0.221276595,12858
2021,James McCann,NYM,121,412,375,87,64,12,1,10,29,46,32,1,115,2,3,0,12,1,2,0.232,12859
2021,Anthony Rendon,LAA,58,249,217,52,33,13,0,6,24,34,29,2,41,1,2,0,11,0,0,0.239631336,12861
2021,Gregory Polanco,PIT,107,382,336,70,45,12,2,11,38,36,36,2,104,2,8,0,8,14,1,0.208333333,12907
2021,Francisco Lindor,NYM,125,524,452,104,65,16,3,20,73,63,58,4,96,5,3,6,7,10,4,0.230088495,12916
2021,Brandon Nimmo,NYM,91,386,325,95,67,17,3,8,51,28,54,0,79,5,0,2,3,5,4,0.292307692,12927
2021,Phillip Evans,PIT,76,247,214,44,34,5,0,5,23,16,28,1,53,5,0,0,3,1,0,0.205607476,12950
2021,Austin Hedges,CLE,88,312,286,51,34,7,0,10,32,31,15,1,87,1,3,7,7,1,0,0.178321678,12976
2021,Michael Perez,PIT,69,231,210,30,14,8,1,7,19,21,19,1,68,2,0,0,4,0,1,0.142857142,12977
2021,Javier Baez,2 Tms,138,547,502,133,82,18,2,31,80,87,28,2,184,13,3,0,12,18,5,0.264940239,12979
2021,Jackie Bradley Jr.,MIL,129,428,387,63,40,14,3,6,39,29,28,0,132,10,3,0,8,7,1,0.162790697,12984
2021,Teoscar Hernandez,TOR,142,594,550,163,102,29,0,32,92,116,36,1,148,7,2,0,5,12,4,0.296363636,13066
2021,Josh Bell,WSN,144,568,498,130,78,24,1,27,75,88,65,2,101,2,3,0,22,0,0,0.261044176,13145
